indice,arquivo,especie_id,especie,conjunto,status,erro_codigo,erro_mensagem,detectado,numero_contornos,dominancia,toca_borda,distancia_minima_borda_px,fracao_foreground,area_contorno_px2,area_mascara_px2,diferenca_area_pct,perimetro_px,elongacao,circularidade,solidez,extent,extent_rotacionado,razao_perimetro_hull,anisotropia,orientacao_confiavel,proporcao_verde,cat_alongamento,limitrofe_alongamento,margem_alongamento,cat_concavidade,limitrofe_concavidade,margem_concavidade,cat_compacidade,limitrofe_compacidade,margem_compacidade,cat_complexidade_borda,limitrofe_complexidade_borda,margem_complexidade_borda,cat_orientacao,limitrofe_orientacao,margem_orientacao,n_limitrofes,tempo_pipeline_ms,tempo_parede_ms,tempo_redimensionamento_ms,tempo_suavizacao_ms,tempo_segmentacao_ms,tempo_limpeza_ms,tempo_contornos_ms,tempo_caracteristicas_ms,tempo_classificacao_ms,n_avisos_tecnicos,avisos
10,1163.jpg,04,Cercis chinensis,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,26,0.430571,337699.5,338680,-0.2895,2322.2653,1.090336,0.786895,0.965442,0.697784,0.794852,1.071402,0.072963,True,0.998592,baixa,False,0.273109,baixa,True,0.049393,alta,False,0.210608,regular,False,0.051857,pouco_definida,False,0.45926,1,265.498,317.518,10.224,1.587,31.577,83.475,20.875,117.551,0.11,1,atributos proximos de um limiar: concavidade | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
11,1191.jpg,04,Cercis chinensis,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,14,0.466436,365819.5,366821,-0.273,2380.8338,1.095981,0.810996,0.974601,0.723971,0.778721,1.071519,0.084029,True,0.998942,baixa,False,0.269346,baixa,False,0.059349,alta,False,0.247686,regular,False,0.051753,pouco_definida,False,0.68058,0,276.444,327.02,9.369,1.546,29.563,81.044,21.258,133.471,0.113,0,descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
12,1195.jpg,05,Indigofera tinctoria,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,190,0.17141,134134.5,134802,-0.4952,1536.3788,2.075664,0.714091,0.993869,0.741751,0.74719,1.057418,0.607524,True,0.998709,moderada,False,0.308112,baixa,False,0.080292,alta,False,0.098602,regular,False,0.064232,bem_definida,False,1.02508,0,203.134,228.009,5.36,1.378,27.818,79.036,20.518,68.848,0.099,0,descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
13,1199.jpg,05,Indigofera tinctoria,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,161,0.146765,114795.0,115421,-0.5424,1404.9159,2.186862,0.730857,0.99384,0.810882,0.81727,1.052559,0.639295,True,0.999012,moderada,False,0.271046,baixa,False,0.080261,alta,False,0.124395,regular,False,0.068532,bem_definida,False,1.130983,0,192.948,229.992,5.228,1.47,27.052,76.007,19.925,63.11,0.087,0,descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
14,1258.jpg,05,Indigofera tinctoria,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,140,0.122949,96103.0,96691,-0.6081,1318.1463,2.300933,0.695056,0.993544,0.774306,0.825401,1.057087,0.688189,True,0.998428,moderada,False,0.233022,baixa,False,0.079939,alta,False,0.069317,regular,False,0.064525,bem_definida,False,1.293963,0,188.771,224.786,5.773,1.383,26.886,77.103,20.285,57.172,0.087,0,descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
15,1269.jpg,06,Acer palmatum,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,17,0.279082,217463.5,219567,-0.958,4970.0524,1.087629,0.11063,0.516541,0.375331,0.400496,2.070494,0.112265,True,0.990117,baixa,False,0.274914,alta,False,0.262084,baixa,False,0.723425,complexa,False,0.592688,pouco_definida,False,0.625783,0,225.866,274.143,5.112,1.294,27.534,79.283,22.394,90.069,0.112,1,solidez_baixa_borda_muito_recortada | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
16,1282.jpg,06,Acer palmatum,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,41,0.21188,164748.0,166630,-1.1294,4395.7467,1.022637,0.107143,0.468097,0.340911,0.366708,2.013162,0.068092,True,0.994425,baixa,False,0.318242,alta,False,0.33129,baixa,False,0.732143,complexa,False,0.548586,pouco_definida,False,0.36184,0,216.125,258.819,5.314,1.478,27.641,79.027,21.923,80.554,0.109,1,solidez_baixa_borda_muito_recortada | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
17,1302.jpg,06,Acer palmatum,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,28,0.231557,180125.5,182109,-1.0892,4610.7589,1.097528,0.106473,0.463344,0.338051,0.350489,1.987791,0.006358,False,0.995278,baixa,False,0.268315,alta,False,0.33808,baixa,False,0.733818,complexa,False,0.52907,indefinida,False,0.87284,0,242.476,285.815,13.471,2.21,37.269,87.101,23.238,78.973,0.12,2,orientacao_nao_confiavel | solidez_baixa_borda_muito_recortada | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
18,1334.jpg,07,Phoebe nanmu,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,90,0.187406,146555.5,147382,-0.5608,2003.4957,3.335581,0.458812,0.969834,0.388772,0.624728,1.059487,0.817919,True,0.997937,alta,False,0.11186,baixa,False,0.054167,moderada,False,0.14703,regular,False,0.062401,bem_definida,False,1.726397,0,210.503,249.748,9.774,1.445,29.339,79.431,21.056,69.28,0.097,0,descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
19,1358.jpg,07,Phoebe nanmu,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,90,0.211371,165362.0,166229,-0.5216,2042.6602,3.199748,0.498028,0.97085,0.484736,0.643128,1.054328,0.794084,True,0.998207,alta,False,0.066583,baixa,False,0.055272,moderada,False,0.233803,regular,False,0.066966,bem_definida,False,1.646947,0,211.859,253.483,7.795,1.419,28.333,77.396,20.316,76.452,0.086,0,descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
20,1359.jpg,07,Phoebe nanmu,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,32,0.29469,230746.0,231754,-0.4349,2483.7182,3.516809,0.470045,0.990129,0.380251,0.675032,1.058581,0.845443,True,0.99786,alta,False,0.17227,baixa,False,0.076227,moderada,False,0.175112,regular,False,0.063203,bem_definida,False,1.818143,0,222.522,267.019,5.169,1.434,27.973,78.373,20.59,88.806,0.09,0,descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
21,1392.jpg,08,Kalopanax septemlobus,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,15,0.370305,289862.0,291270,-0.4834,3313.5415,1.011975,0.331754,0.689481,0.533564,0.540785,1.380901,0.100073,True,0.996309,baixa,False,0.32535,alta,True,0.015027,baixa,False,0.170615,complexa,False,0.062232,pouco_definida,False,0.666423,1,246.43,281.381,5.14,1.562,27.755,79.756,21.978,110.032,0.109,2,solidez_baixa_borda_muito_recortada | atributos proximos de um limiar: concavidade | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
22,1406.jpg,08,Kalopanax septemlobus,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,10,0.37382,292583.0,293984,-0.4766,3273.0319,1.168356,0.343209,0.710663,0.527642,0.551471,1.37589,0.190058,True,0.996047,baixa,False,0.221096,moderada,True,0.015233,baixa,False,0.141978,complexa,False,0.058377,pouco_definida,False,0.366473,1,253.079,300.229,11.402,1.732,31.005,80.6,21.853,106.29,0.113,1,atributos proximos de um limiar: concavidade | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
23,1416.jpg,08,Kalopanax septemlobus,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,2,0.348501,272678.0,274072,-0.5086,3266.4877,1.211489,0.321143,0.678162,0.494942,0.506732,1.38646,0.223518,True,0.99637,baixa,False,0.192341,alta,True,0.031197,baixa,False,0.197143,complexa,False,0.066508,pouco_definida,False,0.25494,1,241.92,288.164,7.828,1.417,28.614,79.408,22.031,102.436,0.101,2,solidez_baixa_borda_muito_recortada | atributos proximos de um limiar: concavidade | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
24,1497.jpg,09,Cinnamomum japonicum,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,85,0.172975,135189.0,136033,-0.6204,1885.6509,3.411326,0.477781,0.9773,0.664809,0.669072,1.062639,0.826609,True,0.998236,alta,False,0.137109,baixa,False,0.062283,moderada,False,0.194452,regular,False,0.059612,bem_definida,False,1.755363,0,195.398,233.061,5.313,1.346,27.102,76.281,20.239,64.949,0.091,0,descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
25,1502.jpg,09,Cinnamomum japonicum,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,162,0.168741,132050.5,132703,-0.4917,1548.6286,1.938457,0.691919,0.991285,0.670743,0.696956,1.062778,0.594572,True,0.998402,moderada,False,0.292305,baixa,False,0.077484,alta,False,0.064491,regular,False,0.059488,bem_definida,False,0.981907,0,199.771,239.11,5.15,1.421,27.497,76.548,20.14,68.849,0.091,0,descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
26,1510.jpg,09,Cinnamomum japonicum,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,46,0.231468,181114.0,182034,-0.5054,2103.0967,2.85489,0.514569,0.957903,0.628632,0.631312,1.066801,0.743448,True,0.998566,moderada,True,0.04837,baixa,True,0.041199,moderada,False,0.208355,regular,False,0.055928,bem_definida,False,1.47816,2,236.616,279.01,13.36,1.709,33.541,84.987,20.998,81.834,0.095,1,"atributos proximos de um limiar: alongamento, concavidade | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica"
27,1443.jpg,10,Koelreuteria paniculata,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,72,0.336236,263182.0,264427,-0.4708,2905.5272,1.67782,0.391756,0.93209,0.626382,0.641147,1.37609,0.532888,True,0.996725,moderada,False,0.118547,baixa,True,0.013141,baixa,True,0.02061,complexa,False,0.058531,bem_definida,False,0.776293,2,241.989,287.307,9.903,1.798,29.723,79.178,21.714,99.488,0.098,1,"atributos proximos de um limiar: concavidade, compacidade | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica"
28,1447.jpg,10,Koelreuteria paniculata,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,106,0.238608,186672.5,187649,-0.5204,2257.9322,1.759935,0.460117,0.927261,0.621074,0.628865,1.253879,0.456389,True,0.996509,moderada,False,0.17329,baixa,True,0.007892,moderada,False,0.150292,moderada,True,0.035478,bem_definida,False,0.521297,2,218.405,257.32,9.116,1.448,28.808,78.589,22.239,78.036,0.1,1,"atributos proximos de um limiar: concavidade, complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica"
29,1490.jpg,10,Koelreuteria paniculata,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,17,0.356055,278799.5,280018,-0.4352,2854.5983,2.118597,0.429944,0.94305,0.612735,0.648293,1.278064,0.587472,True,0.99614,moderada,False,0.293801,baixa,True,0.025054,moderada,False,0.07486,moderada,True,0.016874,bem_definida,False,0.95824,2,237.189,284.883,5.131,1.469,27.548,79.752,20.484,102.622,0.095,1,"atributos proximos de um limiar: concavidade, complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica"
30,2001.jpg,11,Ilex macrocarpa,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,38,0.408572,320324.5,321314,-0.308,2346.8927,1.180278,0.730825,0.979096,0.679939,0.70089,1.069659,0.457472,True,0.998777,baixa,False,0.213148,baixa,False,0.064235,alta,False,0.124346,regular,False,0.053399,bem_definida,False,0.524907,0,252.91,300.417,5.29,1.411,27.761,76.814,21.888,119.573,0.093,0,descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
31,2017.jpg,11,Ilex macrocarpa,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,32,0.462053,362278.0,363379,-0.303,2542.9688,1.844402,0.703995,0.982264,0.708166,0.718288,1.073545,0.495675,True,0.997796,moderada,False,0.229601,baixa,False,0.067678,alta,False,0.083069,regular,True,0.04996,bem_definida,False,0.65225,1,289.906,330.268,14.101,1.821,32.092,85.492,21.39,134.76,0.14,1,atributos proximos de um limiar: complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
32,2024.jpg,11,Ilex macrocarpa,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,45,0.459764,360563.0,361571,-0.2788,2405.846,1.007511,0.782808,0.983258,0.691529,0.771742,1.071233,0.306565,True,0.998296,baixa,False,0.328326,baixa,False,0.068759,alta,False,0.20432,regular,False,0.052006,bem_definida,True,0.021883,1,267.712,318.171,7.608,1.467,29.281,91.829,20.377,116.971,0.094,1,atributos proximos de um limiar: orientacao | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
33,2091.jpg,12,Pittosporum tobira,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,41,0.382102,299476.0,300497,-0.3398,2366.4003,1.859756,0.672041,0.976024,0.663162,0.665236,1.068161,0.509338,True,0.999291,moderada,False,0.239837,baixa,False,0.060896,alta,True,0.033909,regular,False,0.054725,bem_definida,False,0.697793,1,240.297,290.932,5.349,1.412,28.121,77.758,20.541,106.934,0.093,1,atributos proximos de um limiar: compacidade | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
34,2094.jpg,12,Pittosporum tobira,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,108,0.245387,192116.5,192980,-0.4475,1985.5403,2.13237,0.612375,0.980276,0.645011,0.651765,1.066392,0.622219,True,0.998974,moderada,False,0.28921,baixa,False,0.065517,moderada,False,0.057885,regular,False,0.05629,bem_definida,False,1.074063,0,236.222,281.865,5.113,1.419,27.575,92.63,20.704,88.596,0.092,0,descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
35,2108.jpg,12,Pittosporum tobira,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,22,0.376588,295107.5,296161,-0.3557,2480.6917,2.313757,0.602621,0.987112,0.532059,0.653732,1.065121,0.673993,True,0.999024,moderada,False,0.228748,baixa,False,0.072948,moderada,False,0.072891,regular,False,0.057415,bem_definida,False,1.246643,0,259.847,304.14,9.149,1.584,30.126,83.168,20.935,114.699,0.089,0,descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
36,2128.jpg,14,Chimonanthus praecox,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,22,0.392564,307713.0,308725,-0.3278,2375.7384,2.036017,0.685107,0.989717,0.676254,0.678392,1.062873,0.571927,True,0.998293,moderada,False,0.321328,baixa,False,0.075779,alta,False,0.054011,regular,False,0.059404,bem_definida,False,0.906423,0,248.576,298.842,7.733,1.479,28.92,78.863,20.776,110.626,0.09,0,descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
37,2158.jpg,14,Chimonanthus praecox,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,34,0.462695,362718.5,363876,-0.3181,2703.6034,2.13561,0.623582,0.969517,0.578517,0.642445,1.068856,0.573913,True,0.998645,moderada,False,0.28813,baixa,False,0.053823,moderada,True,0.040643,regular,False,0.05411,bem_definida,False,0.913043,1,262.319,314.634,5.242,1.45,29.176,79.69,20.882,125.699,0.103,1,atributos proximos de um limiar: compacidade | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
38,2162.jpg,14,Chimonanthus praecox,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,18,0.496951,389656.5,390818,-0.2972,2704.9759,1.990643,0.669214,0.981483,0.622695,0.669416,1.060903,0.571475,True,0.99903,moderada,False,0.327095,baixa,False,0.066829,alta,True,0.02956,regular,False,0.061148,bem_definida,False,0.904917,1,262.733,309.403,5.171,1.27,28.759,76.318,20.47,130.575,0.098,1,atributos proximos de um limiar: compacidade | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
39,2176.jpg,15,Cinnamomum camphora,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,34,0.296033,231856.0,232810,-0.4098,2233.2287,2.19793,0.5842,0.951919,0.595015,0.598278,1.061798,0.592211,True,0.99814,moderada,False,0.267357,baixa,True,0.034695,moderada,False,0.101231,regular,False,0.060356,bem_definida,False,0.974037,1,231.913,283.662,5.438,1.526,28.728,76.253,22.051,97.725,0.104,1,atributos proximos de um limiar: concavidade | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
40,2189.jpg,15,Cinnamomum camphora,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,36,0.323357,253340.5,254298,-0.3765,2262.182,1.624867,0.622099,0.958101,0.606658,0.616563,1.06675,0.525401,True,0.998026,moderada,False,0.083245,baixa,True,0.041414,moderada,True,0.042925,regular,False,0.055973,bem_definida,False,0.751337,2,258.301,311.374,13.685,2.076,34.081,87.962,20.628,99.686,0.093,1,"atributos proximos de um limiar: concavidade, compacidade | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica"
41,2194.jpg,15,Cinnamomum camphora,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,20,0.367157,287795.0,288796,-0.3466,2381.0765,1.474644,0.637891,0.959203,0.61746,0.63499,1.071239,0.498542,True,0.998691,baixa,True,0.016904,baixa,True,0.042612,moderada,True,0.018629,regular,False,0.052001,bem_definida,False,0.661807,3,243.924,297.877,9.04,1.586,30.946,79.135,20.515,102.517,0.093,1,"atributos proximos de um limiar: alongamento, concavidade, compacidade | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica"
42,2278.jpg,16,Viburnum awabuki,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,43,0.369235,289398.0,290487,-0.3749,2609.2674,2.837865,0.534156,0.978915,0.492697,0.677866,1.086475,0.755626,True,0.997132,moderada,False,0.054045,baixa,False,0.064038,moderada,False,0.178222,regular,True,0.038518,bem_definida,False,1.518753,1,244.919,298.476,5.389,1.372,27.975,82.38,20.858,106.775,0.094,1,atributos proximos de um limiar: complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
43,2280.jpg,16,Viburnum awabuki,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,26,0.47148,375004.5,372347,0.7137,2749.2846,2.283303,0.623458,0.986659,0.587222,0.681666,1.082725,0.655733,True,0.988156,moderada,False,0.238899,baixa,False,0.072455,moderada,True,0.040834,regular,True,0.041836,bem_definida,False,1.185777,2,309.781,367.877,5.257,1.445,28.829,127.236,20.355,126.467,0.105,1,"atributos proximos de um limiar: compacidade, complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica"
44,2286.jpg,16,Viburnum awabuki,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,20,0.435355,342871.5,343299,-0.1245,3035.7009,2.651748,0.467545,0.983016,0.530095,0.688361,1.197069,0.723347,True,0.992281,moderada,False,0.116084,baixa,False,0.068496,moderada,False,0.168862,moderada,False,0.059353,bem_definida,False,1.411157,0,279.637,338.038,5.111,1.358,27.823,95.384,22.167,127.595,0.105,0,descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
45,2302.jpg,17,Osmanthus fragrans,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,27,0.395027,309499.0,310663,-0.3747,2693.8216,2.243301,0.535959,0.945542,0.539122,0.626189,1.10048,0.634427,True,0.997937,moderada,False,0.252233,baixa,True,0.027763,moderada,False,0.175448,regular,True,0.026124,bem_definida,False,1.114757,2,259.905,311.063,10.486,1.718,31.635,86.869,20.525,108.482,0.101,1,"atributos proximos de um limiar: concavidade, complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica"
46,2326.jpg,17,Osmanthus fragrans,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,45,0.452301,354588.0,355749,-0.3264,2746.6399,2.243365,0.59065,0.970935,0.574831,0.6684,1.107048,0.632885,True,0.998111,moderada,False,0.252212,baixa,False,0.055364,moderada,False,0.091308,regular,True,0.020312,bem_definida,False,1.109617,1,260.935,315.079,8.196,1.44,29.344,79.925,20.621,121.225,0.1,1,atributos proximos de um limiar: complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
47,2327.jpg,17,Osmanthus fragrans,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,18,0.510869,400503.5,401764,-0.3137,2941.912,2.336854,0.58151,0.968661,0.590555,0.718423,1.125889,0.657564,True,0.998126,moderada,False,0.221049,baixa,False,0.052892,moderada,False,0.105369,regular,True,0.003638,bem_definida,False,1.19188,1,268.024,326.911,5.852,1.59,28.981,76.635,21.107,133.669,0.103,1,atributos proximos de um limiar: complexidade_borda | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
48,2353.jpg,18,Cedrus deodara,avaliacao,sucesso_com_avisos,,,True,1,1.0,False,49,0.036185,27600.5,28457,-3.0098,2161.2501,28.282403,0.074253,0.895611,0.058578,0.777758,1.069116,0.99805,True,0.987701,extrema,False,3.713734,ambigua,True,0.02651,baixa,False,0.814368,regular,False,0.05388,bem_definida,False,2.326833,1,167.115,201.2,5.024,1.39,27.528,74.43,20.47,38.081,0.108,3,objeto_muito_alongado | atributos proximos de um limiar: concavidade | concavidade ambigua: ver observacoes do atributo | descricao geometrica automatica; nao constitui identificacao botanica nem taxonomica
